analysis,model,seed,epochs,n_f,size,params,rel_l2,rmse,mae,max_err,pde_mse,final_loss,time,cached,loss_protocol
compute,Direct,1,300,64,,249,0.0530975200235843,0.0247127022594213,0.0189996007829904,0.0829208567738533,0.022273976355791,0.0261145178228616,3.313965082168579,False,corrected_phase1_v2
compute,Aux,1,300,64,,282,0.0641534999012947,0.0298583880066871,0.0235304702073335,0.1033264696598053,0.001903127413243,0.0220551043748855,2.281026124954224,False,corrected_phase1_v2
compute,MerLin,1,300,64,,270,0.0501137189567089,0.0233239792287349,0.0205296128988266,0.0552198737859725,0.0023610286880284,0.0092675043269991,53.99195861816406,False,corrected_phase1_v2
compute,Direct,2,300,64,,249,0.123968705534935,0.0576976463198661,0.0445689596235752,0.1608500927686691,0.0185633357614278,0.0336843729019165,2.2020797729492188,False,corrected_phase1_v2
compute,Aux,2,300,64,,282,0.0773587971925735,0.0360044166445732,0.0309729911386966,0.0833585113286972,0.0030237140599638,0.0127249825745821,1.4605166912078855,False,corrected_phase1_v2
compute,MerLin,2,300,64,,270,0.0330645069479942,0.0153889153152704,0.0128836994990706,0.0320795774459838,0.0008379191858693,0.0044099390506744,48.34606575965881,False,corrected_phase1_v2
compute,Direct,0,300,64,,249,0.0155212599784135,0.0072239194996654,0.0057371915318071,0.0212777405977249,0.0020233446266502,0.0029473148752003,5.362870454788208,False,corrected_phase1_v2
compute,Aux,0,300,64,,282,0.0737091079354286,0.0343057662248611,0.0276499819010496,0.1031392216682434,0.0024075207766145,0.019752999767661,3.2056450843811035,False,corrected_phase1_v2
compute,MerLin,0,300,64,,270,0.0280845277011394,0.0130711300298571,0.0106144864112138,0.034675046801567,0.0018509594956412,0.009340826421976,120.87489461898804,False,corrected_phase1_v2
compute,Direct,0,150,64,small,105,0.2490493804216385,0.1159128099679946,0.1025076285004615,0.3557824194431305,0.0697837546467781,0.2835415005683899,0.8998839855194092,False,corrected_phase1_v2
compute,Aux,0,150,64,small,114,0.1774776130914688,0.0826018303632736,0.0664916560053825,0.2371866106986999,0.0056361970491707,0.0839386880397796,0.7848045825958252,False,corrected_phase1_v2
compute,MerLin,0,150,64,small,176,0.293645977973938,0.1366690248250961,0.1054138466715812,0.2996829152107239,0.0220517441630363,0.1575561463832855,9.48911428451538,False,corrected_phase1_v2
compute,Direct,0,150,64,medium,881,0.0569092072546482,0.0264867432415485,0.0208840034902095,0.0838838741183281,0.0156800504773855,0.0203175991773605,1.307302713394165,False,corrected_phase1_v2
compute,Aux,0,150,64,medium,898,0.0771294087171554,0.0358976460993289,0.0300430785864591,0.1283891946077346,0.0086216712370514,0.0320342816412448,2.3970186710357666,False,corrected_phase1_v2
compute,MerLin,0,150,64,medium,270,0.3133226633071899,0.1458269506692886,0.1138424053788185,0.2991685569286346,0.0158022083342075,0.1780801713466644,50.816386461257935,False,corrected_phase1_v2
compute,Direct,0,150,64,large,3297,0.039510354399681,0.0183889493346214,0.0142339672893285,0.0552286952733993,0.0056027946993708,0.0108565706759691,2.5854649543762207,False,corrected_phase1_v2
compute,Aux,0,150,64,large,3330,0.0734347701072692,0.0341780893504619,0.0301336981356143,0.0640844032168388,0.0012502301251515,0.012655989266932,1.981137752532959,False,corrected_phase1_v2
compute,MerLin,0,150,64,large,506,0.2655220627784729,0.1235795319080352,0.0982927158474922,0.2718986272811889,0.0177096556872129,0.10260621458292,193.31426739692688,False,corrected_phase1_v2
