seed,params,train_time,n_f,rmse,nmse,mae,max_err,pde_residual,forward_time_ms,model
0,270,46.957010984420776,64,0.009471676320399833,0.0018902268564047078,0.006861333265131395,0.03021678190767607,0.00010369668598286808,11.80257797241211,Baseline
1,270,52.587910652160645,64,0.009782281867707729,0.0020162323456440635,0.007539330156257942,0.027760695326768392,0.0002258012245874852,11.667013168334961,Baseline
2,270,45.623943567276,64,0.020463015140023768,0.008822658797313207,0.015325036751585938,0.05294216262837198,0.0005680461181327701,10.512471199035645,Baseline
3,270,44.40780329704285,64,0.012950388394521256,0.0035336686193203175,0.009194704357001371,0.037688223218145356,0.0001948153367266059,11.748552322387695,Baseline
4,270,44.94133496284485,64,0.013134179165752397,0.0036346793642955157,0.009850906491138428,0.03512047853342576,0.00017758658214006573,11.925745010375977,Baseline
0,146,31.0260226726532,64,0.09931193823115445,0.2078084239357322,0.0818939360178697,0.24042880556840018,0.004593558609485626,7.152986526489258,HardBC
1,146,30.130040645599365,64,0.11499910981958113,0.2786436753742223,0.09232697637140538,0.3258336851641008,0.002268983284011483,6.032681465148926,HardBC
2,146,29.900933980941772,64,0.09992602808807813,0.21038631319442436,0.08182034573972034,0.23346790693062858,0.004829066339880228,5.2036285400390625,HardBC
3,146,30.0806782245636,64,0.1061347170927363,0.2373423105570524,0.08743249000345976,0.2998929539963075,0.0027146022766828537,7.476043701171875,HardBC
4,146,31.902896404266357,64,0.10260623373106043,0.22182358817552175,0.08218311270775258,0.21935525687129853,0.005518931895494461,5.848240852355957,HardBC
0,146,51.68460464477539,64,0.09931193823115445,0.2078084239357322,0.0818939360178697,0.24042880556840018,0.004593558609485626,17.913413047790527,Reupload
1,146,69.41043519973755,64,0.11499910981958113,0.2786436753742223,0.09232697637140538,0.3258336851641008,0.002268983284011483,15.832924842834474,Reupload
2,146,33.937946796417236,64,0.09992602808807813,0.21038631319442436,0.08182034573972034,0.23346790693062858,0.004829066339880228,6.843090057373047,Reupload
3,146,31.18950867652893,64,0.1061347170927363,0.2373423105570524,0.08743249000345976,0.2998929539963075,0.0027146022766828537,6.140613555908203,Reupload
4,146,30.162949085235596,64,0.10260623373106043,0.22182358817552175,0.08218311270775258,0.21935525687129853,0.005518931895494461,8.352041244506836,Reupload
0,146,30.151936292648315,64,0.09931193823115445,0.2078084239357322,0.0818939360178697,0.24042880556840018,0.004593558609485626,5.9784650802612305,Reupload HardBC
1,146,30.386558771133423,64,0.11499910981958113,0.2786436753742223,0.09232697637140538,0.3258336851641008,0.002268983284011483,6.187558174133301,Reupload HardBC
2,146,37.26047706604004,64,0.09992602808807813,0.21038631319442436,0.08182034573972034,0.23346790693062858,0.004829066339880228,14.636826515197754,Reupload HardBC
3,146,59.7473623752594,64,0.1061347170927363,0.2373423105570524,0.08743249000345976,0.2998929539963075,0.0027146022766828537,14.599180221557617,Reupload HardBC
4,146,43.02144527435303,64,0.10260623373106043,0.22182358817552175,0.08218311270775258,0.21935525687129853,0.005518931895494461,10.027575492858887,Reupload HardBC
0,42,28.63347339630127,64,0.09907128659524209,0.20680252581518124,0.08202563749243208,0.24502232692498283,0.004429730121046305,7.938742637634277,Reupload HardBC Linear Readout
1,42,30.873202800750732,64,0.1004158313508249,0.2124538517012415,0.08183044469454986,0.22944697759408073,0.0049899364821612835,8.076262474060059,Reupload HardBC Linear Readout
2,42,60.4913272857666,64,0.10126018519792482,0.21604174049692879,0.08191846424567999,0.22384333632248954,0.005215105600655079,14.095926284790039,Reupload HardBC Linear Readout
3,42,59.86097168922424,64,0.09970418501234755,0.20945320418868377,0.08183102835839837,0.23562139294404105,0.004762933123856783,14.33556079864502,Reupload HardBC Linear Readout
4,42,50.36767363548279,64,0.10004833133348409,0.21090162789098257,0.08181912858686086,0.23238477132577018,0.004881941247731447,9.746217727661133,Reupload HardBC Linear Readout
0,146,56.78820466995239,64,0.09931193823115445,0.2078084239357322,0.0818939360178697,0.24042880556840018,0.004593558609485626,13.248395919799805,Reupload HardBC MLP Readout
1,146,61.673052072525024,64,0.11499910981958113,0.2786436753742223,0.09232697637140538,0.3258336851641008,0.002268983284011483,13.523602485656738,Reupload HardBC MLP Readout
2,146,33.06547260284424,64,0.09992602808807813,0.21038631319442436,0.08182034573972034,0.23346790693062858,0.004829066339880228,4.6390533447265625,Reupload HardBC MLP Readout
3,146,29.31867218017578,64,0.1061347170927363,0.2373423105570524,0.08743249000345976,0.2998929539963075,0.0027146022766828537,6.407475471496582,Reupload HardBC MLP Readout
4,146,58.35015249252319,64,0.10260623373106043,0.22182358817552175,0.08218311270775258,0.21935525687129853,0.005518931895494461,12.842702865600586,Reupload HardBC MLP Readout
