analysis,model,seed,epochs,n_f,size,loss_protocol,params,rel_l2,rmse,mae,max_err,pde_mse,final_loss,time,cached
robust,Direct,263,100,64,,corrected_phase1_v2,249,0.2083806842565536,0.096984751522541,0.0731443688273429,0.2926777601242065,0.049763735383749,0.1163633167743682,0.6477248668670654,False
robust,Aux,263,100,64,,corrected_phase1_v2,282,0.3265897631645202,0.1520017385482788,0.1256097555160522,0.4725826382637024,0.0162904355674982,0.7758020162582397,0.4465434551239013,False
robust,MerLin,263,100,64,,corrected_phase1_v2,270,0.2938605546951294,0.1367688626050949,0.110057033598423,0.3252293169498443,0.029331337660551,0.4055884480476379,12.943239212036133,False
robust,Direct,3549,100,64,,corrected_phase1_v2,249,0.447745144367218,0.208390012383461,0.1549642384052276,0.6872493624687195,0.0414640121161937,0.9607065320014954,0.6348714828491211,False
robust,Aux,3549,100,64,,corrected_phase1_v2,282,0.2708825170993805,0.12607441842556,0.0923435017466545,0.504138171672821,0.019750602543354,0.5049729347229004,0.4298675060272217,False
robust,MerLin,3549,100,64,,corrected_phase1_v2,270,0.2590199112892151,0.1205533072352409,0.0976298972964286,0.2456110119819641,0.0097293322905898,0.2349660247564315,13.721402168273926,False
robust,Direct,1787,100,64,,corrected_phase1_v2,249,0.4607520997524261,0.2144437134265899,0.1751778572797775,0.5900573134422302,0.0553902275860309,1.247159481048584,0.7081713676452637,False
robust,Aux,1787,100,64,,corrected_phase1_v2,282,0.4169573485851288,0.1940607130527496,0.1594996899366378,0.576336681842804,0.0308884102851152,1.1207826137542725,0.4723684787750244,False
robust,MerLin,1787,100,64,,corrected_phase1_v2,270,0.2846751511096954,0.132493793964386,0.1056802570819854,0.2821665406227112,0.0091831106692552,0.2446438670158386,14.139658212661743,False
robust,Direct,6395,100,64,,corrected_phase1_v2,249,0.3581769168376922,0.1667030602693557,0.1265874356031417,0.5684042572975159,0.0751514732837677,0.9561052322387696,0.6101303100585938,False
robust,Aux,6395,100,64,,corrected_phase1_v2,282,0.2487552016973495,0.115775890648365,0.0878693237900734,0.4478952586650848,0.0105766132473945,0.5813797116279602,0.4532182216644287,False
robust,MerLin,6395,100,64,,corrected_phase1_v2,270,0.3341256380081177,0.1555090695619583,0.1210125908255577,0.3249412775039673,0.0190566256642341,0.1966323852539062,13.010244369506836,False
robust,Direct,8510,100,64,,corrected_phase1_v2,249,0.4675992131233215,0.2176304906606674,0.1766626834869384,0.5914477109909058,0.0548841282725334,1.3357566595077517,0.6229074001312256,False
robust,Aux,8510,100,64,,corrected_phase1_v2,282,0.4192662537097931,0.1951353251934051,0.1609426438808441,0.5902982354164124,0.0242937058210372,1.1950292587280271,0.4493765830993652,False
robust,MerLin,8510,100,64,,corrected_phase1_v2,270,0.2914895415306091,0.1356653422117233,0.1050002500414848,0.3036878705024719,0.0319267138838768,0.1271561384201049,14.25607943534851,False
robust,Direct,3652,100,64,,corrected_phase1_v2,249,0.4439103305339813,0.2066052109003067,0.1710897237062454,0.6043821573257446,0.0764118283987045,1.3727436065673828,0.8368730545043945,False
robust,Aux,3652,100,64,,corrected_phase1_v2,282,0.1536445766687393,0.0715094283223152,0.0623560920357704,0.1996031552553177,0.006551613099873,0.1356100440025329,0.5594775676727295,False
robust,MerLin,3652,100,64,,corrected_phase1_v2,270,0.3021012246608734,0.1406042724847793,0.109802171587944,0.2977482676506042,0.0198886394500732,0.1992071270942688,14.817235708236694,False
robust,Direct,798,100,64,,corrected_phase1_v2,249,0.2021901756525039,0.094103567302227,0.074110060930252,0.3479203879833221,0.1400603950023651,0.3895331025123596,0.6834838390350342,False
robust,Aux,798,100,64,,corrected_phase1_v2,282,0.4195857346057892,0.1952840238809585,0.166846677660942,0.5586519241333008,0.0201992690563201,1.208551287651062,0.6627416610717773,False
robust,MerLin,798,100,64,,corrected_phase1_v2,270,0.2658149600028991,0.1237158849835395,0.0989168360829353,0.254284918308258,0.0139432968571782,0.1738787591457367,15.582163095474243,False
robust,Direct,4670,100,64,,corrected_phase1_v2,249,0.4458053112030029,0.2074871659278869,0.1712892204523086,0.5579726099967957,0.0546531118452549,1.2561240196228027,0.8682117462158203,False
robust,Aux,4670,100,64,,corrected_phase1_v2,282,0.1226267889142036,0.0570730827748775,0.0453619509935379,0.228312149643898,0.010430977679789,0.1008874624967575,0.6028597354888916,False
robust,MerLin,4670,100,64,,corrected_phase1_v2,270,0.303222507238388,0.1411261260509491,0.1109366863965988,0.2865500748157501,0.0171710401773452,0.1728406548500061,15.197760343551636,False
robust,Direct,3704,100,64,,corrected_phase1_v2,249,0.0832502990961074,0.0387464351952075,0.0311269275844097,0.104615181684494,0.0460414588451385,0.0733892694115638,0.6819217205047607,False
