analysis,model,seed,epochs,n_f,size,params,rel_l2,rmse,mae,max_err,pde_mse,final_loss,time,cached,loss_protocol
sample,Direct,0,150,100,,3297,0.0328985638916492,0.0153116844594478,0.0137264225631952,0.0244494676589965,0.0025995196774601,0.0020909388549625,1.2214717864990234,False,legacy
sample,Aux,0,150,100,,3330,0.036718551069498,0.0170895829796791,0.0138827487826347,0.0532567426562309,0.00071232765913,0.0084322709590196,1.0233347415924072,False,legacy
sample,MerLin,0,150,100,,270,0.2407141178846359,0.1120333969593048,0.0905752256512641,0.2516042590141296,0.025161974132061,0.1378958970308303,17.387017965316772,False,legacy
sample,Direct,0,150,500,,3297,0.0539608262479305,0.0251145027577877,0.0232993010431528,0.0554220490157604,0.0026206895709037,0.0064071542583405,1.6170334815979004,False,legacy
sample,Aux,0,150,500,,3330,0.0501544550061225,0.0233429390937089,0.0196178928017616,0.058748535811901,0.0006652922020293,0.0075252773240208,1.3496510982513428,False,legacy
sample,MerLin,0,150,500,,270,0.2464872896671295,0.1147203668951988,0.0899564772844314,0.256389707326889,0.0190312229096889,0.1168342530727386,47.63551139831543,False,legacy
sample,Direct,0,150,1000,,3297,0.0318990387022495,0.0148464832454919,0.0134371891617774,0.034384548664093,0.0021181481424719,0.0041498709470033,2.123856544494629,False,legacy
sample,Aux,0,150,1000,,3330,0.0522051192820072,0.02429736033082,0.0203065667301416,0.063427098095417,0.0006164072547107,0.0079296641051769,1.7029173374176023,False,legacy
sample,MerLin,0,150,1000,,270,0.2671891152858734,0.1243554279208183,0.0974331200122833,0.2790610492229461,0.02621890604496,0.1354224979877472,53.34431481361389,False,legacy
sample,Direct,0,150,100,,249,0.0569320023059845,0.0264973454177379,0.02001210488379,0.0853955075144767,0.0120639754459261,0.0261668041348457,1.3365116119384766,False,corrected_phase1_v2
sample,Aux,0,150,100,,282,0.2512914836406708,0.1169563308358192,0.0880483761429786,0.431769460439682,0.0096637094393372,0.5626310706138611,0.8194637298583984,False,corrected_phase1_v2
sample,MerLin,0,150,100,,270,0.2407141178846359,0.1120333969593048,0.0905752256512641,0.2516042590141296,0.025161974132061,0.1378958970308303,26.279603004455566,False,corrected_phase1_v2
sample,Direct,0,150,500,,249,0.1021610721945762,0.0475479140877723,0.0416267774999141,0.1035381183028221,0.0107028633356094,0.0294698178768157,1.5308022499084473,False,corrected_phase1_v2
sample,Aux,0,150,500,,282,0.2596913278102875,0.1208657994866371,0.0915600433945655,0.4502297639846802,0.008092819713056,0.5162251591682434,0.9671857357025146,False,corrected_phase1_v2
sample,MerLin,0,150,500,,270,0.2464872896671295,0.1147203668951988,0.0899564772844314,0.256389707326889,0.0190312229096889,0.1168342530727386,36.80993390083313,False,corrected_phase1_v2
sample,Direct,0,150,1000,,249,0.0683387219905853,0.0318062789738178,0.0275800824165344,0.0844212472438812,0.0127067565917968,0.0211709756404161,1.676004409790039,False,corrected_phase1_v2
sample,Aux,0,150,1000,,282,0.2545814216136932,0.1184875518083572,0.0925458967685699,0.4407410323619842,0.0097536072134971,0.5176568031311035,1.0261578559875488,False,corrected_phase1_v2
sample,MerLin,0,150,1000,,270,0.2671891152858734,0.12435542792081833,0.09743312001228333,0.27906104922294617,0.026218906044960022,0.1354224979877472,47.30606985092163,False,corrected_phase1_v2
